,rank,youtuber,subscribers,video_views,video_count,category,started,views_rate
61,62,Rihanna ,39000000,19498773786,79,Entertainment ,2005,6.328715932
44,45,Billie Eilish ,45300000,11412714912,45,Music ,2013,5.598584701
63,64,Bad Bunny ,38500000,19328721596,98,Music ,2014,5.122905273
85,86,Bruno Mars ,34700000,16706459290,95,Music ,2006,5.067938508
51,52,Katy Perry ,42700000,23477006711,113,Music ,2008,4.865600031
90,91,J Balvin ,33300000,20881421568,129,Music ,2011,4.861005556
83,84,Ozuna ,34800000,20471335787,137,Music ,2016,4.293845077
78,79,Maroon 5,35700000,20238289703,163,Music ,2006,3.477907185
31,32,EminemMusic ,51700000,22733757739,138,Music ,2007,3.186409573
34,35,Ariana Grande ,51100000,21549846530,146,Music ,2007,2.888487056
40,41,Taylor Swift ,46200000,24711297896,189,Music ,2006,2.830034803
79,80,Shakira ,35500000,22591879625,269,People & Blogs ,2005,2.365765708
99,100,Desi Music Factory ,32200000,9115577588,122,Music ,2014,2.320430096
70,71,XXXTENTACION ,36800000,9439987125,114,Music ,2015,2.250187625
87,88,Jkk Entertainment ,34500000,14403267858,186,Comedy ,2017,2.244548521
32,33,Ed Sheeran ,51600000,26988082012,240,Music ,2006,2.179270188
69,70,One Direction ,37000000,12395170322,157,Music ,2010,2.133787282
88,89,Super Simple Songs - Kids Songs ,33900000,35216710205,587,Education ,2006,1.769746182
12,13,Vlad and Niki ,80900000,62444514631,443,Entertainment ,2018,1.742376666
17,18,Justin Bieber ,68400000,27701817623,243,Music ,2007,1.666655694
